Year,Salary Cap,Salary Cap (2019)
1984-85,"$3,600,000 ","$8,557,797 "
1985-86,"$4,233,000 ","$9,873,144 "
1986-87,"$4,945,000 ","$11,128,422 "
1987-88,"$6,164,000 ","$13,325,270 "
1988-89,"$7,232,000 ","$14,916,364 "
1989-90,"$9,802,000 ","$19,182,059 "
1990-91,"$11,871,000 ","$22,283,140 "
1991-92,"$12,500,000 ","$22,773,891 "
1992-93,"$14,000,000 ","$24,778,161 "
1993-94,"$15,175,000 ","$26,176,363 "
1994-95,"$15,964,000 ","$26,785,632 "
1995-96,"$23,000,000 ","$37,493,952 "
1996-97,"$24,363,000 ","$38,802,016 "
1997-98,"$26,900,000 ","$42,195,324 "
1998-99,"$30,000,000 ","$46,042,748 "
1999-00,"$34,000,000 ","$50,477,681 "
2000-01,"$35,500,000 ","$51,258,504 "
2001-02,"$42,500,000 ","$60,412,118 "
2002-03,"$40,271,000 ","$55,969,987 "
2003-04,"$43,840,000 ","$59,341,564 "
2004-05,"$43,870,000 ","$57,429,410 "
2005-06,"$49,500,000 ","$62,777,896 "
2006-07,"$53,135,000 ","$65,516,964 "
2007-08,"$55,630,000 ","$66,059,550 "
2008-09,"$58,680,000 ","$69,929,958 "
2009-10,"$57,700,000 ","$67,649,793 "
2010-11,"$58,044,000 ","$65,969,238 "
2011-12,"$58,044,000 ","$64,640,100 "
2012-13,"$58,044,000 ","$63,707,436 "
2013-14,"$58,679,000 ","$63,372,330 "
2014-15,"$63,065,000 ","$68,023,079 "
2015-16,"$70,000,000 ","$74,561,208 "
2016-17,"$94,143,000 ","$98,194,497 "
2017-18,"$99,093,000 ","$100,892,064 "
2018-19,"$101,869,000 ","$101,869,000 "
2019-20,"$109,140,000 ",
2020-21,"$109,140,000 ",
